timestep,x,y,z,timestamps,date
76.48032546000563,-42.45695114,-25.58870316,-2.638644218,1.4549561821365478e+18,2016-02-08 18:29:42.136547840
76.49032046000565,-42.52144241,-25.42197037,-2.832322121,1.4549561821465428e+18,2016-02-08 18:29:42.146542848
76.50031646000565,-42.67587662,-25.26588058,-3.02285862,1.454956182156539e+18,2016-02-08 18:29:42.156538880
76.51031146000565,-42.78261948,-25.13637543,-3.056685448,1.454956182166534e+18,2016-02-08 18:29:42.166533888
76.52030550000566,-42.73509216,-25.20938683,-3.024329185,1.454956182176528e+18,2016-02-08 18:29:42.176527872
76.53030050000565,-42.67741776,-25.34809113,-2.923371315,1.454956182186523e+18,2016-02-08 18:29:42.186522880
76.54029550000566,-42.51639938,-25.51608276,-2.995272636,1.454956182196518e+18,2016-02-08 18:29:42.196517888
76.55029050000566,-42.2889328,-25.84787369,-3.007899284,1.454956182206513e+18,2016-02-08 18:29:42.206512896
76.56028650000566,-41.9321785,-26.307958600000003,-3.065995216,1.454956182216509e+18,2016-02-08 18:29:42.216508928
76.57028150000565,-41.64888,-26.77375031,-3.282118797,1.454956182226504e+18,2016-02-08 18:29:42.226503936
76.58027650000568,-41.43455124,-27.19446945,-3.46766758,1.454956182236499e+18,2016-02-08 18:29:42.236498944
76.59027150000567,-41.10649109,-27.67711258,-3.62552166,1.454956182246494e+18,2016-02-08 18:29:42.246493952
76.60026650000567,-40.78632355,-28.13786316,-3.869479179,1.454956182256489e+18,2016-02-08 18:29:42.256488960
76.61026150000568,-40.40339279,-28.73790359,-4.114987373,1.454956182266484e+18,2016-02-08 18:29:42.266483968
76.62025750000568,-40.00800323,-29.30448532,-4.233862877,1.45495618227648e+18,2016-02-08 18:29:42.276480000
76.63025250000568,-39.51259232,-29.87345123,-4.309437752,1.454956182286475e+18,2016-02-08 18:29:42.286475008
76.64024750000569,-39.07757187,-30.47496033,-4.35422039,1.45495618229647e+18,2016-02-08 18:29:42.296470016
76.65024250000569,-38.58178711,-31.08008766,-4.38808918,1.454956182306465e+18,2016-02-08 18:29:42.306465024
76.66023750000568,-38.02982712,-31.77707863,-4.370568275,1.45495618231646e+18,2016-02-08 18:29:42.316460032
76.6702325000057,-37.41155624,-32.58929825,-4.107758522,1.454956182326455e+18,2016-02-08 18:29:42.326455040
