timestep,x,timestamps,date
29.905860332000003,1019.269028,1.4549561355620828e+18,2016-02-08 18:28:55.562082816
30.970069332,1019.271317,1.4549561366262917e+18,2016-02-08 18:28:56.626291712
32.034261332000014,1019.272537,1.4549561376904837e+18,2016-02-08 18:28:57.690483712
33.098459332000004,1019.273071,1.4549561387546819e+18,2016-02-08 18:28:58.754681856
34.162621332000015,1019.276047,1.454956139818844e+18,2016-02-08 18:28:59.818843904
35.22675933200001,1019.276886,1.454956140882982e+18,2016-02-08 18:29:00.882981888
36.29093633000001,1019.276047,1.4549561419471588e+18,2016-02-08 18:29:01.947158784
37.35509933000001,1019.273148,1.4549561430113219e+18,2016-02-08 18:29:03.011321856
38.41926333000001,1019.269104,1.4549561440754857e+18,2016-02-08 18:29:04.075485696
39.48340733000001,1019.267807,1.4549561451396298e+18,2016-02-08 18:29:05.139629824
40.54755833000001,1019.267578,1.4549561462037809e+18,2016-02-08 18:29:06.203780864
41.61170733000001,1019.265366,1.4549561472679299e+18,2016-02-08 18:29:07.267929856
42.675936330000006,1019.265366,1.4549561483321587e+18,2016-02-08 18:29:08.332158720
43.74016233,1019.26445,1.4549561493963848e+18,2016-02-08 18:29:09.396384768
44.80433133,1019.263229,1.4549561504605537e+18,2016-02-08 18:29:10.460553728
45.86849633,1019.262619,1.4549561515247188e+18,2016-02-08 18:29:11.524718848
46.93266733,1019.262619,1.4549561525888899e+18,2016-02-08 18:29:12.588889856
47.99687133,1019.260406,1.454956153653094e+18,2016-02-08 18:29:13.653093888
49.06106133,1019.26384,1.4549561547172838e+18,2016-02-08 18:29:14.717283840
50.12522833,1019.260406,1.4549561557814508e+18,2016-02-08 18:29:15.781450752
51.18934233,1019.26384,1.4549561568455647e+18,2016-02-08 18:29:16.845564672
52.25345333,1019.260254,1.4549561579096758e+18,2016-02-08 18:29:17.909675776
53.31761033,1019.260101,1.4549561589738327e+18,2016-02-08 18:29:18.973832704
54.38174133,1019.258499,1.4549561600379638e+18,2016-02-08 18:29:20.037963776
55.44593833,1019.257507,1.454956161102161e+18,2016-02-08 18:29:21.102160896
56.51013233,1019.254761,1.4549561621663547e+18,2016-02-08 18:29:22.166354688
57.57428032999999,1019.252853,1.454956163230503e+18,2016-02-08 18:29:23.230502912
58.63842432999999,1019.250107,1.4549561642946468e+18,2016-02-08 18:29:24.294646784
59.70259433,1019.249039,1.4549561653588168e+18,2016-02-08 18:29:25.358816768
60.76676133,1019.2453,1.4549561664229837e+18,2016-02-08 18:29:26.422983680
61.83094633,1019.244232,1.4549561674871688e+18,2016-02-08 18:29:27.487168768
62.89511533,1019.237137,1.4549561685513377e+18,2016-02-08 18:29:28.551337728
62.3485116216,1019.210434,1.4549561680047342e+18,2016-02-08 18:29:28.004734208
63.3796466217,1019.218445,1.4549561690358692e+18,2016-02-08 18:29:29.035869184
64.410784622,1019.226456,1.454956170067007e+18,2016-02-08 18:29:30.067006976
65.441944622,1019.23851,1.454956171098167e+18,2016-02-08 18:29:31.098167040
66.473068622,1019.240341,1.454956172129291e+18,2016-02-08 18:29:32.129291008
66.66754562199999,1019.240341,1.454956172323768e+18,2016-02-08 18:29:32.323768064
67.731915622,1019.239578,1.454956173388138e+18,2016-02-08 18:29:33.388137984
68.796246622,1019.239426,1.454956174452469e+18,2016-02-08 18:29:34.452468992
69.860622622,1019.239578,1.454956175516845e+18,2016-02-08 18:29:35.516845056
70.924974622,1019.239655,1.454956176581197e+18,2016-02-08 18:29:36.581197056
71.989285622,1019.240494,1.454956177645508e+18,2016-02-08 18:29:37.645508096
73.05360762,1019.240494,1.4549561787098301e+18,2016-02-08 18:29:38.709830144
74.11797861999997,1019.239578,1.454956179774201e+18,2016-02-08 18:29:39.774201088
75.18233962,1019.237061,1.454956180838562e+18,2016-02-08 18:29:40.838562048
76.24668761999997,1019.229355,1.4549561819029102e+18,2016-02-08 18:29:41.902910208
77.31100161999998,1019.22699,1.454956182967224e+18,2016-02-08 18:29:42.967224064
78.37526961999998,1019.22699,1.454956184031492e+18,2016-02-08 18:29:44.031492096
79.43954961999998,1019.228287,1.4549561850957722e+18,2016-02-08 18:29:45.095772160
80.50384661999998,1019.228516,1.454956186160069e+18,2016-02-08 18:29:46.160069120
81.56813361999997,1019.229355,1.454956187224356e+18,2016-02-08 18:29:47.224356096
82.63238561999997,1019.229355,1.454956188288608e+18,2016-02-08 18:29:48.288608000
