,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,linacc_phone_x,linacc_phone_y,linacc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelswitch,labelsquad,labellunge,labeljumpingjack,labellegraise,labelcrunch,labelpushup,simple_dist_outlier
2016-02-08 18:30:50.860764416,-3.2706087340000005,7.8258610383,-1.2566817169,-0.26703714133600004,-0.29020694495,-0.77436107992,1.6753579695999998,-0.6090099050064001,-0.50525447295,36.782894135999996,-19.357995987,4.524838256900001,0,0,0,0,1,0,0,False
2016-02-08 18:30:50.960764416,-5.6463932648,6.591527847399999,-0.7461533661,-0.55180787592,-0.42605085076,-1.1755139113600002,0.093343313451,-1.3503124794799999,-0.48676474017,38.894718551,-15.931808470999998,2.5152435304,0,0,0,0,1,0,0,False
2016-02-08 18:30:51.060764416,-6.20331015,6.344721084500001,0.422376663181,-0.74092637896,-0.34321727753,-1.5069507958000001,0.5701273242800001,-0.7149100556,-0.11718911769399998,41.236402131,-10.154923629299999,-0.09820251467500003,0,0,0,0,1,0,0,False
2016-02-08 18:30:51.160764416,-8.872649230999999,6.032934448400002,1.8986367647,-1.1428751288799999,-0.4815210938399999,-1.9692665815000001,-1.040593477087,0.34424643094099994,0.45311313701000006,42.70750351,-2.10259552006,-2.1069549562,0,0,0,0,1,0,0,False
2016-02-08 18:30:51.260764416,-9.6508509523,5.092934188900001,2.6597590027,-0.278853455736,-0.195626651512,-2.1986333846,-0.89263313488,1.24893667047,0.5697934483199999,42.33281669500001,7.946180725700001,-3.4516021729000004,0,0,0,0,1,0,0,False
2016-02-08 18:30:51.360764416,-10.391675400499999,2.7644063874,2.8960127104599995,-0.141742093865,-0.9477407990600001,-2.2267382382000003,-1.11822023506,1.055064297922,0.28474846796099995,39.534250259000004,18.375201417,-5.504806518500001,0,0,0,0,1,0,0,False
2016-02-08 18:30:51.460764416,-9.0018156281,1.108265350254,3.2878678436,0.35773985534,-0.07823278717100003,-1.4719961762999998,0.2617990821,1.0373237359149998,0.080988526925,35.622726441,25.898532105,-9.0719573975,0,0,0,0,1,0,0,False
2016-02-08 18:30:51.560764416,-8.735414611699998,-1.563573532,4.4117457276,0.36995443703,-0.99145309328,-1.1830475211799998,0.305733774117,-0.501963692869,0.7783798858750001,32.086699294999995,30.955089568,-11.5839294444,0,0,0,0,1,0,0,False
2016-02-08 18:30:51.660764416,-9.8986306917,-4.4518772735,4.1724533391000005,-0.333831931271,-1.1437020145909995,-0.769061665363,-1.4204940363820002,-2.4390526026900003,-0.3163781330400001,27.87099514,35.138378143000004,-14.786383055999998,0,0,0,0,1,0,0,False
2016-02-08 18:30:51.760764416,-7.2396500701000015,-2.6327850952,5.6119648588999995,0.258256339664,-1.77209157928,-0.023426051441000014,0.290979261074,-0.33368295326,-0.21437424552,23.464165877,36.566983034,-19.117541504000002,0,0,0,0,1,0,0,False
2016-02-08 18:30:51.860764416,-7.0126471254,-2.1560265197999997,6.8265990144,-0.262131414564,-0.6015978992000001,0.3409179747,-0.1288057408464,0.0003872757054000142,0.17990666344999998,21.519334603,36.192016601,-21.660409546999997,0,0,0,0,1,0,0,False
2016-02-08 18:30:51.960764416,-6.6812512664999995,-1.8622324678,7.0407886047,0.059283412068440004,0.20236788727699997,0.38166815937,0.1029078964642,0.108206160882,0.23543591630620006,21.927613068000003,35.541219329,-21.844137573,0,0,0,0,1,0,0,False
2016-02-08 18:30:52.060764416,-7.7469601137,-1.5891553344999998,6.4242806398,0.21723385377,0.08329452798499999,-0.226126967737,-0.7067658197710001,0.14785953622599998,-0.182633161604,23.369511033000002,34.634794618,-21.42470703,0,0,0,0,1,0,0,False
