,acc_phone_x,acc_phone_y,acc_phone_z,bar_phone_x,gyr_phone_x,gyr_phone_y,gyr_phone_z,linacc_phone_x,linacc_phone_y,linacc_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_h,loc_phone_vel,loc_phone_dir,loc_phone_hor_acc,loc_phone_ver_acc,mag_phone_x,mag_phone_y,mag_phone_z,dist_phone_dis,labelswitch,labelsquad,labellunge,labeljumpingjack,labellegraise,labelcrunch,labelpushup
2016-02-08 18:28:26.658190336,2.4491469725,-5.318739624,5.4707485199,,-0.6498039275490001,-4.112872590515002,3.3465760113000003,-2.8028976723000003,1.1267612629791302,6.288626756799999,,,,,,,,-29.608523178000002,42.685213472,5.6002171038999995,,1,0,0,0,0,0,0
2016-02-08 18:28:26.758190336,-0.8578810272550002,-6.1625349427,-7.71953714025,,1.83291544907,,1.48808867342,-5.6158775233,2.220253213612,-4.4528314226,,,,,,,,-10.886743688800001,50.727058411,11.054534625799999,,1,0,0,0,0,0,0
2016-02-08 18:28:26.858190336,1.0167756041899998,-14.832685272400001,-3.0606403655400003,,0.1733213484,0.30160675489,3.2162975789,-0.93212297824,-1.1924415156999997,-0.8786267437799999,,,,,,,,0.9056735993700002,52.646776581000005,8.595644760999999,,1,0,0,0,0,0,0
2016-02-08 18:28:26.958190336,-1.7795593872399995,-10.903760513499998,-1.1479178924900002,,1.04049247501,-1.0644118995129999,-0.030162921532000012,-0.91779706419,-5.11372484085,1.1183468564499999,,,,,,,,13.514913748999998,50.730760193,6.9105501177,,1,0,0,0,0,0,0
2016-02-08 18:28:27.058190336,-1.8997294922100003,-11.2816796264,-2.0696411591,,0.410122560346,-1.5792822800979998,0.020786900076,-1.97678405611,-1.42001742975,-0.966768586076,,,,,,,,12.822691537,51.775606538000005,-1.92913484565,,1,0,0,0,0,0,0
2016-02-08 18:28:27.158190336,2.808789093,-9.6063035885,-0.12422666929000005,1015.577698,-0.6109872177260001,0.8109690760307998,-0.08122565839999997,2.71992844152,0.34307257292700005,1.3699531745200002,,,,,,,,12.430648231,52.470652008,-5.910839843899999,,1,0,0,0,0,0,0
2016-02-08 18:28:27.258190336,0.643736343477,-9.3075698092,-1.44536434944,,-0.4713329522455999,0.5250674947600001,0.31398117841,1.5169454225107,0.059046996281999976,0.266212955194,,,,,,,,12.188793755,52.796520233,-3.7484194755,,1,0,0,0,0,0,0
2016-02-08 18:28:27.358190336,0.3390898589799999,-9.875428939299999,-0.55428236387,,-1.4535696088299999,-0.27488382464,0.91174480323,1.3725883063600002,-0.3648547961320001,2.5297955278,,,,,,,,14.45893631,51.691061401999995,1.155810642288,,1,0,0,0,0,0,0
2016-02-08 18:28:27.458190336,-1.4662608948099998,-7.858717712300002,-4.8705715943,,-2.0521341205000003,-0.7207398265999999,0.4106051700128,-0.155958192964,0.31519135307,0.19924349333000008,,,,,,,,19.103659821,48.69984970200001,7.8277853969,,1,0,0,0,0,0,0
2016-02-08 18:28:27.558190336,-2.34795739746,-7.5483980254,-5.676196289,,-1.6515245080999996,-0.36675653061769997,0.3174312219000001,0.17274271322999996,-0.08157573352999999,0.1939707375,,,,,,,,22.590781020999998,44.439515687,15.433214187,,1,0,0,0,0,0,0
2016-02-08 18:28:27.658190336,-2.0354971617000004,-6.007053268300001,-6.663707748099999,,-1.3402023195000001,-0.47324304464100003,0.4832218915200001,1.2329337768000002,0.36571685116999997,0.05179416859800017,,,,,,,,25.49378853,40.052820589,20.420120812,,1,0,0,0,0,0,0
2016-02-08 18:28:27.758190336,-3.1476244812000003,-3.7447477569,-7.949384170599999,,-1.01665732855,-0.27400909727734,0.4219871193000001,0.18220684106,1.6836364575100002,-0.515653143017,,,,,,,,28.508628463,35.307894897,24.145867155999998,,1,0,0,0,0,0,0
2016-02-08 18:28:27.858190336,-3.9174885406,-4.9094607239000005,-8.179321014400001,,-0.90550829177,-0.106260713744,0.42152024806,-0.216883198037,-0.17914000574999994,-0.3580745403100001,,,,,,,,30.445757676,31.139233017,26.71165161,,1,0,0,0,0,0,0
