timestep,x,y,z,timestamps
1.12801575,8.76358638,-1.423368264,-5.323756535,1686140011.7648897
1.13803575,7.385365491,2.570916934,-1.629278548,1686140011.7749097
1.14805575,5.628482425,1.148497527,-0.1439841771,1686140011.7849298
1.15807575,4.194886065,-1.496375576,0.3806714268,1686140011.7949498
1.16809475,1.904459188,-1.6933741180000002,1.261961285,1686140011.8049686
1.17811475,0.1161514306,-0.2536261949,2.978447692,1686140011.8149886
1.18813475,-0.4312227988,1.571462303,5.701082039,1686140011.8250086
1.19815475,-1.276748893,2.622910961,7.430663871,1686140011.8350286
1.20817475,-2.998363894,2.538407,7.102541517000001,1686140011.8450487
1.21819475,-6.5578032120000005,2.3495027580000003,4.721975133,1686140011.8550687
1.22821475,-11.67933847,2.6363227190000003,1.6944669630000002,1686140011.8650887
1.23823375,-13.79424363,2.850104232,1.123674489,1686140011.8751078
1.24825375,-12.30420585,1.6631723719999998,1.291262998,1686140011.8851278
1.25827375,-9.257846841000001,-0.1534666067,0.8201408462,1686140011.8951478
1.26829375,-5.5066662110000015,-0.9813437578,0.1205814274,1686140011.9051678
1.27831375,-1.53427138,-2.20444971,0.5584242976,1686140011.9151876
1.28833375,2.091570089,-2.685333496,1.455566981,1686140011.9252076
1.29835275,4.125701224,-4.445173499,0.1905277213,1686140011.9352267
1.30837275,4.486232355,-5.716449106000002,0.2723975113,1686140011.9452467
1.31839275,4.168032142,-6.012350378,0.452068415,1686140011.9552667
1.32841275,4.353203521,-5.467424378,3.1101328360000005,1686140011.9652867
1.33843275,4.318005622,-2.398865537,0.1995549452,1686140011.9753067
1.34845275,0.8636074394,-0.01866021931,-5.297117205,1686140011.9853268
1.35847275,-3.03824015,-0.2206478986,-6.776249342000001,1686140011.9953468
1.36849175,-3.038714359,-1.193067636,-7.24256596,1686140012.0053656
1.37851175,-0.05242028832,-1.500720057,-5.303967218,1686140012.0153856
1.38853175,2.242346976,-1.244855255,-3.715569332,1686140012.0254056
1.39855175,2.6715133090000003,-0.7681785411,-3.104763923,1686140012.0354257
1.40857175,1.5309823219999998,-0.5286429664,-2.68031103,1686140012.0454457
1.41859175,-0.0758623606,0.3960950661,0.03322534114,1686140012.0554657
1.42861175,-1.531779882,2.032983912,4.710704333,1686140012.0654857
1.43863075,-2.233352205,2.054174514,7.463258005,1686140012.0755048
1.44865075,-1.462951137,-0.2557490265,6.839036159,1686140012.0855248
1.45867075,0.1311916387,-2.803973209,6.74233783,1686140012.0955448
1.46869075,1.910200569,-4.0414188730000005,5.370436612000001,1686140012.1055646
1.47871075,2.9733682160000003,-4.098373092,2.096620329,1686140012.1155846
1.48873075,3.029013244,-2.607395666,-0.3487329116,1686140012.1256046
1.49875075,2.126601927,-0.04153686583,-0.5377365561999999,1686140012.1356246
1.50876975,0.9416519809,1.923930416,0.05670425087,1686140012.1456437
1.51878975,0.8492957944,3.460538344,1.517836027,1686140012.1556637
1.52880975,0.4517149508,3.985999548,0.6119722214,1686140012.1656837
