timestep,latitude,longitude,h,vel,dir,hor_acc,ver_acc,timestamps,date
164.47531604000002,52.36763539,4.870825782,2.883497596,-1.0,-1.0,13.92416658,13.92416658,1.4549562701315384e+18,2016-02-08 18:31:10.131538432
165.11363005000004,52.36763539,4.870825782,2.888137221,-1.0,-1.0,13.92416658,13.92416658,1.4549562707698524e+18,2016-02-08 18:31:10.769852416
171.60841608000004,52.36763539,4.870825782,2.911798954,-1.0,-1.0,13.92416658,13.92416658,1.4549562772646385e+18,2016-02-08 18:31:17.264638464
171.66240405989004,52.36763539,4.870825782,-1.169525862,-1.0,-1.0,13.92416658,13.92416658,1.4549562773186266e+18,2016-02-08 18:31:17.318626560
172.05692303130004,52.36763539,4.870825782,2.9991416930000003,-1.0,-1.0,13.92416658,13.92416658,1.4549562777131456e+18,2016-02-08 18:31:17.713145600
178.54356312700006,52.36763539,4.870825782,3.060138464,-1.0,-1.0,13.92416658,13.92416658,1.4549562841997855e+18,2016-02-08 18:31:24.199785472
185.01148105000004,52.36763539,4.870825782,2.888398767,-1.0,-1.0,13.92416658,13.92416658,1.4549562906677036e+18,2016-02-08 18:31:30.667703552
191.47793102000003,52.36763539,4.870825782,2.803997159,-1.0,-1.0,13.92416658,13.92416658,1.4549562971341535e+18,2016-02-08 18:31:37.134153472
197.94099510000004,52.36763539,4.870825782,2.855897665,-1.0,-1.0,13.92416658,13.92416658,1.4549563035972175e+18,2016-02-08 18:31:43.597217536
197.96592510031002,52.36763539,4.870825782,-0.8160615563,-1.0,-1.0,13.92416658,13.92416658,1.4549563036221476e+18,2016-02-08 18:31:43.622147584
197.99729812429004,52.36742437,4.870151062,-0.8160615563,-1.0,-1.0,907.2200653,907.2200653,1.4549563036535206e+18,2016-02-08 18:31:43.653520640
198.00119102285004,52.36733967,4.869861429,-0.8160615563,-1.0,-1.0,907.2200745,907.2200745,1.4549563036574134e+18,2016-02-08 18:31:43.657413376
198.40126204770004,52.36763539,4.870825782,3.121727645,-1.0,-1.0,13.92416658,13.92416658,1.4549563040574845e+18,2016-02-08 18:31:44.057484544
204.87401509600002,52.36763539,4.870825782,3.059969425,-1.0,-1.0,13.92416658,13.92416658,1.4549563105302374e+18,2016-02-08 18:31:50.530237440
211.33537209000005,52.36763539,4.870825782,2.907999277,-1.0,-1.0,13.92416658,13.92416658,1.4549563169915945e+18,2016-02-08 18:31:56.991594496
217.81150711000004,52.36763539,4.870825782,3.011075974,-1.0,-1.0,13.92416658,13.92416658,1.4549563234677297e+18,2016-02-08 18:32:03.467729664
224.30137110000004,52.36763539,4.870825782,2.976021528,-1.0,-1.0,13.92416658,13.92416658,1.4549563299575936e+18,2016-02-08 18:32:09.957593600
